丑	チュウ	Знак Быка	チュウ    うし	ひろ		sign of the ox or cow, 1-3AM, second sign of Chinese zodiac 
邑	ユウ	Деревня	ユウ    うれ.える    くに    むら	お    おう    おお	おおざと	village, rural community, right village radical (no. 163) 
郁	イク	Благоухающий	イク	あや    かおる    い    か    ふみ    ゆう		cultural progress, perfume 
鄭	テイ	Фамилия Чжэн	テイ    ジョウ			an ancient Chinese province 
酉	ユウ	Знак Петуха	ユウ    とり	なが    みのる	ひよりのとり    とりへん	west, bird, sign of the bird, 5-7PM, tenth sign of Chinese zodiac, sake radical (no. 164) 
酋	シュウ	Предводитель	シュウ    ジュ    おさ    ふるざけ    さけのつかさ			chieftain 
醇	ジュン	Беспримесный	ジュン    シュン    もっぱら    こい    あつい			pure sake', purity, affection 
醍	ダイ	Сливки	ダイ    タイ    テイ			whey, good Buddhist teaching 
醐	ゴ	Сливки	ゴ    コ			boiled butter 
醗	ハツ	Брожение	ハツ    かも.す			fermentation, brewing 
醤	ショウ	Соевый соус	ショウ    ひしお			a kind of miso 
釘	テイ	Гвоздь	テイ    チョウ    くぎ			nail, tack, peg 
釦	コウ	Пуговица	コウ    ク    ぼたん			button 
釧	セン	Браслет	セン    くしろ    うでわ	くし		bracelet 
鈷	コ	Жезл	コ			cobalt 
鉤	コウ	Крюк	コウ    ク    かぎ			hook, barb, gaff, [brackets] 
鉦	ショウ	Гонг	セイ    ショウ    かね			bell, gong, chimes 
鉾	ボウ	Копьё	ボウ    ム    ほこ			halberd, arms, festival float 
銑	セン	Чугун в чушках	セン			pig iron 
銚	チョウ	Бутылочка	チョウ    ヨウ    なべ			sake bottle 
鋒	ホウ	Остриё	ホウ    ほこ.さき			dagger, sword's point, festival car, float 
鋤	ジョ	Пахать	ジョ    ショ    ソ    す.く    すき    くわ			spade up, plow 
鋪	ホ	Мостить	ホ    フ    しく    みせ	しき		shop, store 
鋲		Заклёпка	びょう			rivet, tack, thumbtack, (kokuji) 
鋸	キョ	Пила	キョ    コ    のこ    のこぎり			saw (cuts wood) 
錆	セイ	Ржавчина	ショウ    セイ    さび    くわ.しい			tarnish 
錐	スイ	Сверло	スイ    きり			auger, drill, awl, pyramid, cone 
錘	スイ	Веретено	スイ    つむ    おもり			weight, plumb bob, sinker 
錨	ビョウ	Якорь	ビョウ    ミョウ    いかり			anchor, grapnel 
錫	シャク	Олово	セキ    シャク    すず    たま.う			copper, tin 
鍍	ト	Покрытие металлом	ト    めっき			plating, gilding 
鍔	ガク	Гарда	ガク    つば			sword guard, kettle brim 
鍬	ショウ	Мотыга	ショウ    シュウ    くわ    すき			hoe with long blade at acute angle 
鍾	ショウ	Накапливать	ショウ    シュ    あつ.める    さかずき    かね			spindle, gather, collect 
鎗	ソウ	Пика	ソウ    ショウ    やり			spear, lance, javelin 
鎚	ツイ	Молот	ツイ    タイ    つち			hammer, mallet 
鎧	ガイ	Доспехи	カイ    ガイ    よろ.う    よろい			put on armor, arm oneself 
鏑	テキ	Поющая стрела	テキ    かぶら    かぶらや    やじり			arrowhead 
鐙	トウ	Стремя	トウ    あぶみ    たかつき    ひともし			stirrup 
鐸	タク	Колокольчик	タク	すず		large hand bell 
鑓		Пика	やり			spear, javelin, (kokuji) 
閃	セン	Вспышка	セン    ひらめ.く    ひらめ.き			flash, brandish 
閏	ジュン	Високосный	ジュン    うるう			intercalation, illegitimate throne 
閤	コウ	Калитка	コウ    くぐりど			small side gate 
阿	ア	Угодничать	ア    オ    おもね.る	くま    ほとり    あず    あわ    おか    きた    な		Africa, flatter, fawn upon, corner, nook, recess 
陀	ダ	-да-	タ    ダ    イ    チ    ジ    けわ.しい    ななめ			steep 
隈	ワイ	Закоулок	ワイ    エ    くま    すみ			corner, nook, recess 
隼	ジュン	Сокол-сапсан	シュン    ジュン    はやぶさ	はや		falcon 
雀	ジャク ジャン	Воробей	ジャク    ジャン    サク    シャク    すずめ	ざく		sparrow 
雁	ガン	Дикий гусь	ガン    かり    かりがね			wild goose 
雛	スウ	Цыплёнок	スウ    ス    ジュ    ひな    ひよこ			chick, squab, duckling, doll 
雫		Капля	ダ    しずく			drop, trickle, dripping 
霞	カ	Дымка	カ    ゲ    かすみ    かす.む			be hazy, grow dim, blurred 
靖	セイ	Успокоение	セイ    ジョウ    やす.んじる	のぶ    やす    やすし    しず    おさむ    きよし		peaceful 
靭	ジン	Гибкий	ジン    ニン    サ    サイ    サツ    うつぼ    しな.やか    ゆぎ	ゆき		soft, pliable, quiver 
鞄	ホウ	Сумка	ハク    ホウ    ビョウ    かばん			suitcase, bag, briefcase 
鞍	アン	Седло	アン    くら			saddle 
鞘	ショウ	Ножны	ショウ    ソウ    さや			sheath, case, margin, difference, shells (of beans) 
鞠	キク	Мяч	キク    キュウ    まり	まい		ball 
鞭	ベン	Кнут	ベン    ヘン    むち    むちうつ			whip, rod 
韃	ダツ	Татары	ダツ    タツ	だっ		proper name 
