Id	New	Old	Radical	Strokes	Grade
400	供		人	8	6
401	協		十	8	4
402	況		水	8	S
403	峡	峽	山	9	S
404	挟	挾	手	9	S
405	狭	狹	犬	9	S
406	恐		心	10	S
407	恭		心	10	S
408	胸		肉	10	6
409	脅		肉	10	S
410	強		弓	11	2
411	教		攴	11	2
412	郷	鄕	邑	11	6
413	境		土	14	5
414	橋		木	16	3
415	矯		矢	17	S
416	鏡		金	19	4
417	競		立	20	4
418	響	響	音	20	S
419	驚		馬	22	S
420	仰		人	6	S
421	暁	曉	日	12	S
422	業		木	13	3
423	凝		冫	16	S
424	曲		曰	6	3
425	局		尸	7	3
426	極		木	12	4
427	玉		玉	5	1
428	巾		巾	3	S
429	斤		斤	4	S
430	均		土	7	5
431	近		辵	7	2
432	金		金	8	1
433	菌		艸	11	S
434	勤	勤	力	12	6
435	琴		玉	12	S
436	筋		竹	12	6
437	僅		人	13	S
438	禁		示	13	5
439	緊		糸	15	S
440	錦		金	16	S
441	謹	謹	言	17	S
442	襟		衣	18	S
443	吟		口	7	S
444	銀		金	14	3
445	区	區	匸	4	3
446	句		口	5	5
447	苦		艸	8	3
448	駆	驅	馬	14	S
449	具		八	8	3
450	惧		心	11	S
451	愚		心	13	S
452	空		穴	8	1
453	偶		人	11	S
454	遇		辵	12	S
455	隅		阜	12	S
456	串		丨	7	S
457	屈		尸	8	S
458	掘		手	11	S
459	窟		穴	13	S
460	熊		火	14	S
461	繰		糸	19	S
462	君		口	7	3
463	訓		言	10	4
464	勲	勳	力	15	S
465	薫	薰	艸	16	S
466	軍		車	9	4
467	郡		邑	10	4
468	群		羊	13	5
469	兄		儿	5	2
470	刑		刀	6	S
471	形		彡	7	2
472	系		糸	7	6
473	径	徑	彳	8	4
474	茎	莖	艸	8	S
475	係		人	9	3
476	型		土	9	4
477	契		大	9	S
478	計		言	9	2
479	恵	惠	心	10	S
480	啓		口	11	S
481	掲	揭	手	11	S
482	渓	溪	水	11	S
483	経	經	糸	11	5
484	蛍	螢	虫	11	S
485	敬		攴	12	6
486	景		日	12	4
487	軽	輕	車	12	3
488	傾		人	13	S
489	携		手	13	S
490	継	繼	糸	13	S
491	詣		言	13	S
492	慶		心	15	S
493	憬		心	15	S
494	稽		禾	15	S
495	憩		心	16	S
496	警		言	19	6
497	鶏	鷄	鳥	19	S
498	芸	藝	艸	7	4
499	迎		辵	7	S
500	鯨		魚	19	S
501	隙		阜	13	S
502	劇		刀	15	6
503	撃	擊	手	15	S
504	激		水	16	6
505	桁		木	10	S
506	欠	缺	缶	4	4
507	穴		穴	5	6
508	血		血	6	3
509	決		水	7	3
510	結		糸	12	4
511	傑		人	13	S
512	潔		水	15	5
513	月		月	4	1
514	犬		犬	4	1
515	件		人	6	5
516	見		見	7	1
517	券		刀	8	5
518	肩		肉	8	S
519	建		廴	9	4
520	研	硏	石	9	3
521	県	縣	糸	9	3
522	倹	儉	人	10	S
523	兼		八	10	S
524	剣	劍	刀	10	S
525	拳		手	10	S
526	軒		車	10	S
527	健		人	11	4
528	険	險	阜	11	5
529	圏	圈	囗	12	S
530	堅		土	12	S
531	検	檢	木	12	5
532	嫌		女	13	S
533	献	獻	犬	13	S
534	絹		糸	13	6
535	遣		辵	13	S
536	権	權	木	15	6
537	憲		心	16	6
538	賢		貝	16	S
539	謙		言	17	S
540	鍵		金	17	S
541	繭		糸	18	S
542	顕	顯	頁	18	S
543	験	驗	馬	18	4
544	懸		心	20	S
545	元		儿	4	2
546	幻		幺	4	S
547	玄		玄	5	S
548	言		言	7	2
549	弦		弓	8	S
550	限		阜	9	5
551	原		厂	10	2
552	現		玉	11	5
553	舷		舟	11	S
554	減		水	12	5
555	源		水	13	6
556	厳	嚴	口	17	6
557	己		己	3	6
558	戸		戶	4	2
559	古		口	5	2
560	呼		口	8	6
561	固		囗	8	4
562	股		肉	8	S
563	虎		虍	8	S
564	孤		子	9	S
565	弧		弓	9	S
566	故		攴	9	5
567	枯		木	9	S
568	個		人	10	5
569	庫		广	10	3
570	湖		水	12	3
571	雇		隹	12	S
572	誇		言	13	S
573	鼓		鼓	13	S
574	錮		金	16	S
575	顧		頁	21	S
576	五		二	4	1
577	互		二	4	S
578	午		十	4	2
579	呉		口	7	S
580	後		彳	9	2
581	娯		女	10	S
582	悟		心	10	S
583	碁		石	13	S
584	語		言	14	2
585	誤		言	14	6
586	護		言	20	5
587	口		口	3	1
588	工		工	3	2
589	公		八	4	2
590	勾		勹	4	S
591	孔		子	4	S
592	功		力	5	4
593	巧		工	5	S
594	広	廣	广	5	2
595	甲		田	5	S
596	交		亠	6	2
597	光		儿	6	2
598	向		口	6	3
599	后		口	6	6
600	好		女	6	4
601	江		水	6	S
602	考		老	6	2
603	行		行	6	2
604	坑		土	7	S
605	孝		子	7	6
606	抗		手	7	S
607	攻		攴	7	S
608	更		曰	7	S
609	効	效	力	8	5
610	幸		干	8	3
611	拘		手	8	S
612	肯		肉	8	S
613	侯		人	9	S
614	厚		厂	9	5
615	恒	恆	心	9	S
616	洪		水	9	S
617	皇		白	9	6
618	紅		糸	9	6
619	荒		艸	9	S
620	郊		邑	9	S
621	香		香	9	S
622	候		人	10	4
623	校		木	10	1
624	耕		耒	10	5
625	航		舟	10	4
626	貢		貝	10	S
627	降		阜	10	6
628	高		高	10	2
629	康		广	11	4
630	控		手	11	S
631	梗		木	11	S
632	黄	黃	黃	11	2
633	喉		口	12	S
634	慌		心	12	S
635	港		水	12	3
636	硬		石	12	S
637	絞		糸	12	S
638	項		頁	12	S
639	溝		水	13	S
640	鉱	鑛	金	13	5
641	構		木	14	5
642	綱		糸	14	S
643	酵		酉	14	S
644	稿		禾	15	S
645	興		臼	16	5
646	衡		行	16	S
647	鋼		金	16	6
648	講		言	17	5
649	購		貝	17	S
650	乞		乙	3	S
651	号	號	虍	5	3
652	合		口	6	2
653	拷		手	9	S
654	剛		刀	10	S
655	傲		人	13	S
656	豪		豕	14	S
657	克		儿	7	S
658	告		口	7	4
659	谷		谷	7	2
660	刻		刀	8	6
661	国	國	囗	8	2
662	黒	黑	黑	11	2
663	穀	穀	禾	14	6
664	酷		酉	14	S
665	獄		犬	14	S
666	骨		骨	10	6
667	駒		馬	15	S
668	込		辵	5	S
669	頃		頁	11	S
670	今		人	4	2
671	困		囗	7	6
672	昆		日	8	S
673	恨		心	9	S
674	根		木	10	3
675	婚		女	11	S
676	混		水	11	5
677	痕		疒	11	S
678	紺		糸	11	S
679	魂		鬼	14	S
680	墾		土	16	S
681	懇		心	17	S
682	左		工	5	1
683	佐		人	7	S
684	沙		水	7	S
685	査		木	9	5
686	砂		石	9	6
687	唆		口	10	S
688	差		工	10	4
689	詐		言	12	S
690	鎖		金	18	S
691	座		广	10	6
692	挫		手	10	S
693	才		手	3	2
694	再		冂	6	5
695	災		火	7	5
696	妻		女	8	5
697	采		釆	8	S
698	砕	碎	石	9	S
699	宰		宀	10	S
700	栽		木	10	S
701	彩		彡	11	S
702	採		手	11	5
703	済	濟	水	11	6
704	祭		示	11	3
705	斎	齋	齊	11	S
706	細		糸	11	2
707	菜		艸	11	4
708	最		曰	12	4
709	裁		衣	12	6
710	債		人	13	S
711	催		人	13	S
712	塞		土	13	S
713	歳		止	13	S
714	載		車	13	S
715	際		阜	14	5
716	埼		土	11	S
717	在		土	6	5
718	材		木	7	4
719	剤	劑	刀	10	S
720	財		貝	10	5
721	罪		网	13	5
722	崎		山	11	S
723	作		人	7	2
724	削		刀	9	S
725	昨		日	9	4
726	柵		木	9	S
727	索		糸	10	S
728	策		竹	12	6
729	酢		酉	12	S
730	搾		手	13	S
731	錯		金	16	S
732	咲		口	9	S
733	冊		冂	5	6
734	札		木	5	4
735	刷		刀	8	4
736	刹		刀	8	S
737	拶		手	9	S
738	殺	殺	殳	10	4
739	察		宀	14	4
740	撮		手	15	S
741	擦		手	17	S
742	雑	雜	隹	14	5
743	皿		皿	5	3
744	三		一	3	1
745	山		山	3	1
746	参	參	厶	8	4
747	桟	棧	木	10	S
748	蚕	蠶	虫	10	6
749	惨	慘	心	11	S
750	産		生	11	4
751	傘		人	12	S
752	散		攴	12	4
753	算		竹	14	2
754	酸		酉	14	5
755	賛	贊	貝	15	5
756	残	殘	歹	10	4
757	斬		斤	11	S
758	暫		日	15	S
759	士		士	3	4
760	子		子	3	1
761	支		支	4	5
762	止		止	4	2
763	氏		氏	4	4
764	仕		人	5	3
765	史		口	5	4
766	司		口	5	4
767	四		囗	5	1
768	市		巾	5	2
769	矢		矢	5	2
770	旨		日	6	S
771	死		歹	6	3
772	糸	絲	糸	6	1
773	至		至	6	6
774	伺		人	7	S
775	志		心	7	5
776	私		禾	7	6
777	使		人	8	3
778	刺		刀	8	S
779	始		女	8	3
780	姉		女	8	2
781	枝		木	8	5
782	祉	祉	示	8	S
783	肢		肉	8	S
784	姿		女	9	6
785	思		心	9	2
786	指		手	9	3
787	施		方	9	S
788	師		巾	10	5
789	恣		心	10	S
790	紙		糸	10	2
791	脂		肉	10	S
792	視	視	見	11	6
793	紫		糸	12	S
794	詞		言	12	6
795	歯	齒	齒	12	3
796	嗣		口	13	S
797	試		言	13	4
798	詩		言	13	3
799	資		貝	13	5
800	飼		食	13	5
801	誌		言	14	6
802	雌		隹	14	S
803	摯		手	15	S
804	賜		貝	15	S
805	諮		言	16	S
806	示		示	5	5
807	字		子	6	1
808	寺		寸	6	2
809	次		欠	6	3
810	耳		耳	6	1
811	自		自	6	2
812	似		人	7	5
813	児	兒	儿	7	4
814	事		亅	8	3
815	侍		人	8	S
816	治		水	8	4
817	持		手	9	3
818	時		日	10	2
819	滋		水	12	S
820	慈		心	13	S
821	辞	辭	辛	13	4
822	磁		石	14	6
823	餌		食	15	S
824	璽		玉	19	S
825	鹿		鹿	11	S
826	式		弋	6	3
827	識		言	19	5
828	軸		車	12	S
829	七		一	2	1
830	叱		口	5	S
831	失		大	5	4
832	室		宀	9	2
833	疾		疒	10	S
834	執		土	11	S
835	湿	濕	水	12	S
836	嫉		女	13	S
837	漆		水	14	S
838	質		貝	15	5
839	実	實	宀	8	3
840	芝		艸	6	S
841	写	寫	宀	5	3
842	社	社	示	7	2
843	車		車	7	1
844	舎		舌	8	5
845	者	者	老	8	3
846	射		寸	10	6
847	捨		手	11	6
848	赦		赤	11	S
849	斜		斗	11	S
850	煮	煮	火	12	S
851	遮		辵	14	S
852	謝		言	17	5
853	邪		邑	8	S
854	蛇		虫	11	S
855	尺		尸	4	6
856	借		人	10	4
857	酌		酉	10	S
858	釈	釋	釆	11	S
859	爵		爪	17	S
860	若		艸	8	6
861	弱		弓	10	2
862	寂		宀	11	S
863	手		手	4	1
864	主		丶	5	3
865	守		宀	6	3
866	朱		木	6	S
867	取		又	8	3
868	狩		犬	9	S
869	首		首	9	2
870	殊		歹	10	S
871	珠		玉	10	S
872	酒		酉	10	3
873	腫		肉	13	S
874	種		禾	14	4
875	趣		走	15	S
876	寿	壽	士	7	S
877	受		又	8	3
878	呪		口	8	S
879	授		手	11	5
880	需		雨	14	S
881	儒		人	16	S
882	樹		木	16	6
883	収	收	攴	4	6
884	囚		囗	5	S
885	州		巛	6	3
886	舟		舟	6	S
887	秀		禾	7	S
888	周		口	8	4
889	宗		宀	8	6
890	拾		手	9	3
891	秋		禾	9	2
892	臭	臭	自	9	S
893	修		人	10	5
894	袖		衣	10	S
895	終		糸	11	3
896	羞		羊	11	S
897	習		羽	11	3
898	週		辵	11	2
899	就		尢	12	6
900	衆		血	12	6
901	集		隹	12	3
902	愁		心	13	S
903	酬		酉	13	S
904	醜		酉	17	S
905	蹴		足	19	S
906	襲		衣	22	S
907	十		十	2	1
908	汁		水	5	S
909	充		儿	6	S
910	住		人	7	3
911	柔		木	9	S
912	重		里	9	3
913	従	從	彳	10	6
914	渋	澁	水	11	S
915	銃		金	14	S
916	獣	獸	犬	16	S
917	縦	縱	糸	16	6
918	叔		又	8	S
919	祝	祝	示	9	4
920	宿		宀	11	3
921	淑		水	11	S
922	粛	肅	聿	11	S
923	縮		糸	17	6
924	塾		土	14	S
925	熟		火	15	6
926	出		凵	5	1
927	述		辵	8	5
928	術		行	11	5
929	俊		人	9	S
930	春		日	9	2
931	瞬		目	18	S
932	旬		日	6	S
933	巡		巛	6	S
934	盾		目	9	S
935	准		冫	10	S
936	殉		歹	10	S
937	純		糸	10	6
938	循		彳	12	S
939	順		頁	12	4
940	準		水	13	5
941	潤		水	15	S
942	遵		辵	15	S
943	処	處	虍	5	6
944	初		刀	7	4
945	所		戶	8	3
946	書		曰	10	2
947	庶		广	11	S
948	暑	暑	日	12	3
949	署	署	网	13	6
950	緒	緖	糸	14	S
951	諸	諸	言	15	6
952	女		女	3	1
953	如		女	6	S
954	助		力	7	3
